Year,Round,Event,Driver,LapNumber,LapTime,GapToWinner,TyreLife,Stint,StintLap,TireDegradation,Compound_SOFT,Compound_MEDIUM,Compound_HARD,TrackTemp
2024,1,Bahrain Grand Prix,PER,16.0,95.783,31.828,4.0,2.0,4.0,-1.0319999999999965,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,17.0,96.454,30.443,5.0,2.0,5.0,0.6709999999999923,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,18.0,96.311,27.001,6.0,2.0,6.0,-0.14299999999998647,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,19.0,96.038,5.458,7.0,2.0,7.0,-0.27300000000001035,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,20.0,96.278,6.213,8.0,2.0,8.0,0.2400000000000091,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,21.0,96.165,7.331,9.0,2.0,9.0,-0.11299999999999955,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,22.0,96.037,8.18,10.0,2.0,10.0,-0.1280000000000001,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,23.0,96.249,9.013,11.0,2.0,11.0,0.21199999999998909,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,24.0,96.211,10.046,12.0,2.0,12.0,-0.0379999999999967,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,25.0,96.344,10.968,13.0,2.0,13.0,0.13299999999999557,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,26.0,96.347,11.97,14.0,2.0,14.0,0.0030000000000001137,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,27.0,96.233,13.094,15.0,2.0,15.0,-0.11399999999999011,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,28.0,96.226,13.746,16.0,2.0,16.0,-0.007000000000005002,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,29.0,96.437,14.495,17.0,2.0,17.0,0.21099999999999852,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,30.0,96.313,15.139,18.0,2.0,18.0,-0.12399999999999523,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,31.0,96.339,15.681,19.0,2.0,19.0,0.02599999999999625,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,32.0,96.276,16.341,20.0,2.0,20.0,-0.06300000000000239,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,33.0,96.564,16.731,21.0,2.0,21.0,0.2879999999999967,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,34.0,96.378,17.432,22.0,2.0,22.0,-0.18599999999999284,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,35.0,96.776,17.677,23.0,2.0,23.0,0.39799999999999613,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,36.0,99.365,18.435,24.0,2.0,24.0,2.5889999999999986,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,37.0,115.808,21.595,1.0,3.0,1.0,0.0,True,False,False,30.0
